Name,Position X,Position Y,Position Z
Point01,0,5.484544,0.673995
Point02,0,0.554847,0.530087
Point03,0,5.289451,0.650543
Point04,0,5.096868,0.618358
Point05,0,4.906389,0.570928
Point06,0,4.713887,0.526958
Point07,0,4.533605,0.471276
Point08,0,4.346429,0.411464
Point09,0,4.159286,0.347717
Point10,0,3.984138,0.271064
Point11,0,3.794842,0.215678
Point12,0,3.604394,0.163034
Point13,0,3.413024,0.196632
Point14,0,3.219195,0.163796
Point15,0,3.024467,0.131062
Point16,0,2.826972,0.116835
Point17,0,2.633068,0.085129
Point18,0,2.436496,0.094053
Point19,0,2.240195,0.081172
Point20,0,2.050893,0.076997
Point21,0,1.867908,0.152523
Point22,0,1.689203,0.232806
Point23,0,1.494515,0.267308
Point24,0,1.309219,0.334856
Point25,0,1.123461,0.397685
Point26,0,0.942855,0.473658
Point27,0,0.750443,0.511094
