Name,Position X,Position Y,Position Z
Point01,4.8,4.184101,0.833371
Point02,4.8,4.130282,0.801093
Point03,4.8,4.084165,0.758372
Point04,4.8,4.054863,0.702178
Point05,4.8,4.029755,0.643826
Point06,4.8,3.998558,0.589067
Point07,4.8,3.96003,0.538608
Point08,4.8,3.914129,0.494735
Point09,4.8,3.859596,0.462419
Point10,4.8,3.805392,0.429304
Point11,4.8,3.75351,0.392855
Point12,4.8,3.709827,0.346788
Point13,4.8,3.662534,0.304569
Point14,4.8,3.616808,0.260667
Point15,4.8,3.559088,0.234827
Point16,4.8,3.5086,0.196482
Point17,4.8,3.452935,0.166262
Point18,4.8,3.393865,0.143483
Point19,4.8,3.33351,0.123749
Point20,4.8,3.272276,0.10687
Point21,4.8,3.211496,0.088599
Point22,4.8,3.148588,0.079979
Point23,4.8,3.05311,0.083629
Point24,4.8,2.957464,0.08865
Point25,4.8,2.864306,0.108067
Point26,4.8,2.773027,0.137202
Point27,4.8,2.684262,0.159517
Point28,4.8,2.595593,0.193553
Point29,4.8,2.503717,0.220835
Point30,4.8,2.411172,0.245073
Point31,4.8,2.317817,0.266269
Point32,4.8,2.227834,0.29913
Point33,4.8,2.135505,0.323602
Point34,4.8,2.043322,0.347714
Point35,4.8,1.953382,0.380234
Point36,4.8,1.860895,0.402907
Point37,4.8,1.767485,0.422682
Point38,4.8,1.679521,0.459024
Point39,4.8,1.589183,0.490437
Point40,4.8,1.500382,0.525843
Point41,4.8,1.411629,0.560442
Point42,4.8,1.323449,0.596127
Point43,4.8,1.228206,0.605486
