Name,Position X,Position Y,Position Z
Point01,1,3.526108,0.582867
Point02,1,3.494723,0.577412
Point03,1,3.464346,0.567643
Point04,1,3.437746,0.550088
Point05,1,3.410243,0.533903
Point06,1,3.383798,0.515975
Point07,1,3.360878,0.493859
Point08,1,3.338294,0.471371
Point09,1,3.314531,0.450117
Point10,1,3.293498,0.426098
Point11,1,3.271857,0.402632
Point12,1,3.250825,0.378632
Point13,1,3.229264,0.355092
Point14,1,3.210736,0.32913
Point15,1,3.186862,0.308264
Point16,1,3.158593,0.293512
Point17,1,3.129803,0.279756
Point18,1,3.099527,0.269597
Point19,1,3.069188,0.259756
Point20,1,3.039058,0.249139
Point21,1,3.008092,0.241507
Point22,1,2.97674,0.235548
Point23,1,2.942914,0.227566
Point24,1,2.908421,0.224375
Point25,1,2.873827,0.227492
Point26,1,2.840648,0.237719
Point27,1,2.808067,0.249801
Point28,1,2.773832,0.255538
Point29,1,2.73941,0.260352
Point30,1,2.705931,0.269603
Point31,1,2.673576,0.282371
Point32,1,2.642146,0.297166
Point33,1,2.612675,0.315596
Point34,1,2.583277,0.334158
Point35,1,2.550977,0.34617
Point36,1,2.517654,0.355829
Point37,1,2.490797,0.377391
Point38,1,2.463444,0.39829
Point39,1,2.430462,0.4093
Point40,1,2.397492,0.420256
Point41,1,2.364631,0.431583
Point42,1,2.330137,0.435047
Point43,1,2.295419,0.43656
