Name,Position X,Position Y,Position Z
Point01,1.8,3.597672,0.244937
Point02,1.8,3.575811,0.241386
Point03,1.8,3.558063,0.228318
Point04,1.8,3.544663,0.210587
Point05,1.8,3.531264,0.1928
Point06,1.8,3.514213,0.178685
Point07,1.8,3.492872,0.173741
Point08,1.8,3.470772,0.176084
Point09,1.8,3.449036,0.171866
Point10,1.8,3.430419,0.159809
Point11,1.8,3.412179,0.147096
Point12,1.8,3.391918,0.138025
Point13,1.8,3.370017,0.134286
Point14,1.8,3.348125,0.130218
Point15,1.8,3.326088,0.127219
Point16,1.8,3.303874,0.127445
Point17,1.8,3.281633,0.128311
Point18,1.8,3.259419,0.129468
Point19,1.8,3.237174,0.129307
Point20,1.8,3.214995,0.131214
Point21,1.8,3.193001,0.134532
Point22,1.8,3.171638,0.140701
Point23,1.8,3.144315,0.146053
Point24,1.8,3.116455,0.142779
Point25,1.8,3.088461,0.141728
Point26,1.8,3.060499,0.144032
Point27,1.8,3.032479,0.143587
Point28,1.8,3.004457,0.144468
Point29,1.8,2.97707,0.150155
Point30,1.8,2.950991,0.160479
Point31,1.8,2.926467,0.174055
Point32,1.8,2.900247,0.183859
Point33,1.8,2.873948,0.193495
Point34,1.8,2.847345,0.202311
Point35,1.8,2.821594,0.213227
Point36,1.8,2.797223,0.22709
Point37,1.8,2.771989,0.239301
Point38,1.8,2.746958,0.251904
Point39,1.8,2.721481,0.263697
Point40,1.8,2.695594,0.274192
Point41,1.8,2.668121,0.279855
Point42,1.8,2.641365,0.28827
Point43,1.8,2.614082,0.294389
