Name,Position X,Position Y,Position Z
Point01,2.7,3.508993,0.902528
Point02,2.7,3.458612,0.916961
Point03,2.7,3.406563,0.91654
Point04,2.7,3.355131,0.906008
Point05,2.7,3.303161,0.898055
Point06,2.7,3.251513,0.887911
Point07,2.7,3.199113,0.882747
Point08,2.7,3.147096,0.875448
Point09,2.7,3.100883,0.853385
Point10,2.7,3.059834,0.820844
Point11,2.7,3.010957,0.801473
Point12,2.7,2.963358,0.77933
Point13,2.7,2.914384,0.76113
Point14,2.7,2.871981,0.729982
Point15,2.7,2.823066,0.71095
Point16,2.7,2.772083,0.697821
Point17,2.7,2.719951,0.691478
Point18,2.7,2.66732,0.692057
Point19,2.7,2.614995,0.68654
Point20,2.7,2.562632,0.682637
Point21,2.7,2.512367,0.697354
Point22,2.7,2.460816,0.707602
Point23,2.7,2.412275,0.739197
Point24,2.7,2.360079,0.764567
Point25,2.7,2.313635,0.799136
Point26,2.7,2.272587,0.84022
Point27,2.7,2.233468,0.882878
Point28,2.7,2.187695,0.918479
Point29,2.7,2.157067,0.967443
Point30,2.7,2.130282,1.018881
Point31,2.7,2.089565,1.059889
Point32,2.7,2.0344,1.076403
Point33,2.7,1.981683,1.100698
Point34,2.7,1.937291,1.13787
Point35,2.7,1.904556,1.185577
Point36,2.7,1.866891,1.229415
Point37,2.7,1.825634,1.269282
Point38,2.7,1.773778,1.295394
Point39,2.7,1.72061,1.318771
Point40,2.7,1.668856,1.345162
Point41,2.7,1.616837,1.370769
Point42,2.7,1.562851,1.392125
Point43,2.7,1.506786,1.406533
