Name,Position X,Position Y,Position Z
Point01,0,4.424796,1.853641
Point02,0,4.300797,1.847508
Point03,0,4.179394,1.823644
Point04,0,4.058874,1.793525
Point05,0,3.937658,1.775067
Point06,0,3.870719,1.671331
Point07,0,3.756929,1.634794
Point08,0,3.714985,1.523332
Point09,0,3.705349,1.399401
Point10,0,3.68641,1.277519
Point11,0,3.649673,1.159325
Point12,0,3.593491,1.050528
Point13,0,3.541103,0.93853
Point14,0,3.471236,0.83583
Point15,0,3.401681,0.732937
Point16,0,3.332159,0.630091
Point17,0,3.264673,0.52576
Point18,0,3.179928,0.435365
Point19,0,3.097309,0.343444
Point20,0,3.020502,0.251131
Point21,0,2.962044,0.143588
Point22,0,2.854151,0.089179
Point23,0,2.795489,0.113151
Point24,0,2.791462,0.184591
Point25,0,2.787993,0.256064
Point26,0,2.78593,0.327577
Point27,0,2.784304,0.399122
Point28,0,2.782616,0.470618
Point29,0,2.780918,0.542145
Point30,0,2.779265,0.613701
Point31,0,2.777738,0.685212
Point32,0,2.776378,0.756766
Point33,0,2.775,0.82832
Point34,0,2.773404,0.89984
Point35,0,2.771374,0.971349
Point36,0,2.769364,1.042886
Point37,0,2.767589,1.114393
Point38,0,2.76367,1.185827
Point39,0,2.747976,1.254654
Point40,0,2.70456,1.311471
Point41,0,2.647983,1.352645
Point42,0,2.593263,1.398635
Point43,0,2.533368,1.433613
