Name,Position X,Position Y,Position Z
Point01,0,4.252337,0.368784
Point02,0,4.180798,0.368488
Point03,0,4.109892,0.358529
Point04,0,4.040576,0.340422
Point05,0,3.971918,0.32116
Point06,0,3.902204,0.30608
Point07,0,3.831056,0.307375
Point08,0,3.764003,0.283072
Point09,0,3.696117,0.260117
Point10,0,3.624591,0.254897
Point11,0,3.553379,0.246633
Point12,0,3.482513,0.234997
Point13,0,3.41381,0.218952
Point14,0,3.358283,0.17435
Point15,0,3.301185,0.131385
Point16,0,3.232329,0.119222
Point17,0,3.16134,0.128039
Point18,0,3.091403,0.116447
Point19,0,3.022612,0.097629
Point20,0,2.952291,0.085452
Point21,0,2.881434,0.074588
Point22,0,2.809843,0.068908
Point23,0,2.756494,0.075841
Point24,0,2.703159,0.081599
Point25,0,2.65418,0.100881
Point26,0,2.608856,0.128902
Point27,0,2.559992,0.151257
Point28,0,2.511604,0.174857
Point29,0,2.464294,0.199355
Point30,0,2.418128,0.225371
Point31,0,2.369724,0.248947
Point32,0,2.32213,0.273887
Point33,0,2.274486,0.29846
Point34,0,2.221395,0.307148
Point35,0,2.170863,0.32524
Point36,0,2.121752,0.347215
Point37,0,2.074417,0.372756
Point38,0,2.024072,0.390947
Point39,0,1.970929,0.39907
Point40,0,1.920246,0.416856
Point41,0,1.874406,0.445036
Point42,0,1.825369,0.467213
Point43,0,1.773531,0.479438
