Name,Position X,Position Y,Position Z
Point01,0,0.451809,0.232749
Point02,0,0.491328,0.227516
Point03,0,0.52796,0.211867
Point04,0,0.561683,0.190386
Point05,0,0.591969,0.164378
Point06,0,0.620085,0.13599
Point07,0,0.652841,0.113213
Point08,0,0.687677,0.093664
Point09,0,0.723461,0.075924
Point10,0,0.759463,0.058559
Point11,0,0.79576,0.041988
Point12,0,0.831538,0.024187
Point13,0,0.866949,0.005632
Point14,0,0.904404,-0.008029
Point15,0,0.943628,-0.014722
Point16,0,0.978951,-0.03331
Point17,0,1.017852,-0.04217
Point18,0,1.05619,-0.053411
Point19,0,1.09555,-0.060265
Point20,0,1.135173,-0.065508
Point21,0,1.1747,-0.071244
Point22,0,1.213945,-0.078228
Point23,0,1.253364,-0.074974
Point24,0,1.2928,-0.072207
Point25,0,1.332025,-0.067403
Point26,0,1.371375,-0.0714
Point27,0,1.410544,-0.077087
Point28,0,1.449927,-0.074092
Point29,0,1.488562,-0.06549
Point30,0,1.527081,-0.056407
Point31,0,1.56427,-0.043178
Point32,0,1.600938,-0.028217
Point33,0,1.63731,-0.012619
Point34,0,1.67048,0.008858
Point35,0,1.705568,0.027154
Point36,0,1.738755,0.04846
Point37,0,1.768186,0.074941
Point38,0,1.796708,0.102362
Point39,0,1.830249,0.12313
Point40,0,1.865781,0.140561
Point41,0,1.900097,0.160203
Point42,0,1.928496,0.187715
Point43,0,1.963389,0.204074
