Name,Position X,Position Y,Position Z
Point01,0,3.399186,0.452775
Point02,0,3.355658,0.449885
Point03,0,3.31233,0.444684
Point04,0,3.268773,0.441816
Point05,0,3.22533,0.437957
Point06,0,3.182611,0.428968
Point07,0,3.144875,0.407852
Point08,0,3.106409,0.387649
Point09,0,3.065056,0.373855
Point10,0,3.021616,0.369596
Point11,0,2.979261,0.359142
Point12,0,2.937562,0.346607
Point13,0,2.898105,0.32803
Point14,0,2.858093,0.310743
Point15,0,2.821901,0.286466
Point16,0,2.784337,0.264732
Point17,0,2.741985,0.254418
Point18,0,2.699061,0.246503
Point19,0,2.655878,0.250747
Point20,0,2.612954,0.258658
Point21,0,2.569774,0.254216
Point22,0,2.526237,0.253205
Point23,0,2.484363,0.258839
Point24,0,2.443439,0.269266
Point25,0,2.40175,0.275863
Point26,0,2.359538,0.274669
Point27,0,2.317432,0.278115
Point28,0,2.279218,0.295556
Point29,0,2.244599,0.319769
Point30,0,2.20859,0.341628
Point31,0,2.168731,0.355595
Point32,0,2.130104,0.372719
Point33,0,2.091328,0.389439
Point34,0,2.056278,0.412811
Point35,0,2.0227,0.438325
Point36,0,1.984496,0.456371
Point37,0,1.945359,0.47225
Point38,0,1.906678,0.489053
Point39,0,1.866927,0.503026
Point40,0,1.827371,0.517809
Point41,0,1.791279,0.53944
Point42,0,1.752533,0.554584
Point43,0,1.710488,0.558586
