Name,Position X,Position Y,Position Z
Point01,6.5,2.878873,1.657676
Point02,6.5,2.791,1.631427
Point03,6.5,2.718283,1.572151
Point04,6.5,2.665204,1.494995
Point05,6.5,2.622455,1.411416
Point06,6.5,2.57713,1.329562
Point07,6.5,2.529805,1.24897
Point08,6.5,2.512015,1.156925
Point09,6.5,2.497187,1.064223
Point10,6.5,2.476387,0.972706
Point11,6.5,2.448813,0.883049
Point12,6.5,2.432477,0.790602
Point13,6.5,2.418526,0.697711
Point14,6.5,2.393468,0.607907
Point15,6.5,2.317661,0.553201
Point16,6.5,2.266386,0.478325
Point17,6.5,2.239992,0.388249
Point18,6.5,2.20299,0.302255
Point19,6.5,2.127576,0.248406
Point20,6.5,2.081312,0.168857
Point21,6.5,2.038486,0.0865
Point22,6.5,1.951535,0.055099
Point23,6.5,1.881362,0.102749
Point24,6.5,1.891532,0.194258
Point25,6.5,1.899355,0.286274
Point26,6.5,1.896292,0.378614
Point27,6.5,1.888134,0.470663
Point28,6.5,1.882941,0.562901
Point29,6.5,1.880483,0.655265
Point30,6.5,1.879019,0.747676
Point31,6.5,1.878036,0.840059
Point32,6.5,1.877044,0.932466
Point33,6.5,1.875626,1.024868
Point34,6.5,1.874088,1.117255
Point35,6.5,1.872407,1.209671
Point36,6.5,1.870405,1.302051
Point37,6.5,1.867772,1.394431
Point38,6.5,1.862555,1.486683
Point39,6.5,1.860833,1.579046
Point40,6.5,1.823491,1.655569
Point41,6.5,1.739044,1.69288
Point42,6.5,1.651492,1.718688
Point43,6.5,1.565467,1.719764
