Name,Position X,Position Y,Position Z
Point01,0,1.63795,2.012792
Point02,0,1.760813,1.998619
Point03,0,1.881383,1.970535
Point04,0,1.997033,1.931309
Point05,0,2.109646,1.887295
Point06,0,2.202734,1.806525
Point07,0,2.230838,1.685984
Point08,0,2.261495,1.565787
Point09,0,2.289262,1.444884
Point10,0,2.331636,1.329923
Point11,0,2.417922,1.241108
Point12,0,2.45946,1.125043
Point13,0,2.500938,1.008704
Point14,0,2.531955,0.888819
Point15,0,2.544804,0.765443
Point16,0,2.551295,0.641547
Point17,0,2.557161,0.517617
Point18,0,2.566166,0.393836
Point19,0,2.60463,0.278248
Point20,0,2.655436,0.165702
Point21,0,2.719448,0.059952
Point22,0,2.824762,0.002652
Point23,0,2.942031,0.03764
Point24,0,3.035723,0.117258
Point25,0,3.1374,0.186696
Point26,0,3.179423,0.298302
Point27,0,3.184063,0.421873
Point28,0,3.191241,0.545352
Point29,0,3.195928,0.668992
Point30,0,3.200172,0.792629
Point31,0,3.204429,0.916262
Point32,0,3.208695,1.039901
Point33,0,3.21248,1.16355
Point34,0,3.21654,1.287164
Point35,0,3.223808,1.410683
Point36,0,3.245501,1.532116
Point37,0,3.276631,1.651806
Point38,0,3.350598,1.747445
Point39,0,3.458216,1.808287
Point40,0,3.565675,1.869076
Point41,0,3.683922,1.895864
Point42,0,3.805479,1.916199
Point43,0,3.928754,1.924818
