Name,Position X,Position Y,Position Z
Point01,2.61,3.536311,0.609164
Point02,2.61,2.358797,0.435132
Point03,2.61,3.478219,0.601781
Point04,2.61,3.421443,0.587329
Point05,2.61,3.375013,0.554838
Point06,2.61,3.354096,0.500354
Point07,2.61,3.334614,0.445193
Point08,2.61,3.303344,0.395707
Point09,2.61,3.265579,0.351171
Point10,2.61,3.228854,0.305637
Point11,2.61,3.193117,0.259672
Point12,2.61,3.147106,0.223446
Point13,2.61,3.100777,0.187954
Point14,2.61,3.054167,0.153188
Point15,2.61,2.996476,0.145837
Point16,2.61,2.940211,0.131457
Point17,2.61,2.885958,0.145991
Point18,2.61,2.835194,0.174855
Point19,2.61,2.785951,0.205446
Point20,2.61,2.735795,0.229608
Point21,2.61,2.678857,0.216687
Point22,2.61,2.628845,0.243908
Point23,2.61,2.596122,0.292488
Point24,2.61,2.55185,0.330699
Point25,2.61,2.519668,0.379523
Point26,2.61,2.472792,0.410725
Point27,2.61,2.415941,0.424386
