Name,Position X,Position Y,Position Z
Point01,3.35,3.987849,0.73608
Point02,3.35,1.907573,1.071503
Point03,3.35,3.931621,0.661095
Point04,3.35,3.914253,0.552022
Point05,3.35,3.85858,0.459302
Point06,3.35,3.784612,0.377457
Point07,3.35,3.720153,0.290351
Point08,3.35,3.619737,0.244525
Point09,3.35,3.515387,0.208614
Point10,3.35,3.406329,0.192535
Point11,3.35,3.300709,0.162316
Point12,3.35,3.192145,0.144686
Point13,3.35,3.084052,0.122044
Point14,3.35,2.974618,0.107229
Point15,3.35,2.864886,0.115237
Point16,3.35,2.754784,0.11945
Point17,3.35,2.653763,0.163671
Point18,3.35,2.552495,0.207269
Point19,3.35,2.477401,0.288
Point20,3.35,2.414602,0.378829
Point21,3.35,2.347686,0.466648
Point22,3.35,2.300118,0.566195
Point23,3.35,2.245465,0.662097
Point24,3.35,2.177339,0.748658
Point25,3.35,2.119892,0.842842
Point26,3.35,2.07233,0.942244
Point27,3.35,2.005891,1.029722
