Name,Position X,Position Y,Position Z
Point01,0,1.413017,0.754577
Point02,0,4.05216,0.744015
Point03,0,1.51977,0.744866
Point04,0,1.626703,0.7408
Point05,0,1.732029,0.719406
Point06,0,1.834798,0.696926
Point07,0,1.939527,0.680214
Point08,0,2.045334,0.664539
Point09,0,2.15161,0.668094
Point10,0,2.258776,0.663534
Point11,0,2.363533,0.641562
Point12,0,2.460972,0.59782
Point13,0,2.564165,0.567564
Point14,0,2.668376,0.541425
Point15,0,2.775372,0.533386
Point16,0,2.881985,0.523578
Point17,0,2.986201,0.497574
Point18,0,3.091815,0.483218
Point19,0,3.195077,0.464271
Point20,0,3.301393,0.465851
Point21,0,3.408684,0.461792
Point22,0,3.513691,0.44074
Point23,0,3.619572,0.457744
Point24,0,3.716227,0.504406
Point25,0,3.812997,0.55119
Point26,0,3.896992,0.617587
Point27,0,3.961223,0.701314
