Name,Position X,Position Y,Position Z
Point01,0,1.825709,0.998072
Point02,0,3.799447,0.950743
Point03,0,1.907408,0.984066
Point04,0,1.985958,0.959952
Point05,0,2.058385,0.919706
Point06,0,2.13204,0.881987
Point07,0,2.214468,0.873942
Point08,0,2.291317,0.84513
Point09,0,2.371907,0.829351
Point10,0,2.450436,0.80254
Point11,0,2.531535,0.785742
Point12,0,2.614244,0.780875
Point13,0,2.695476,0.764167
Point14,0,2.775813,0.744419
Point15,0,2.854898,0.719762
Point16,0,2.93599,0.702209
Point17,0,3.018558,0.693854
Point18,0,3.099455,0.676615
Point19,0,3.174721,0.642003
Point20,0,3.254696,0.632966
Point21,0,3.333752,0.641855
Point22,0,3.407549,0.679546
Point23,0,3.483523,0.711486
Point24,0,3.548772,0.762077
Point25,0,3.593763,0.831735
Point26,0,3.645511,0.896232
Point27,0,3.719201,0.933469
