Name,Position X,Position Y,Position Z
Point01,0,4.252337,0.368784
Point02,0,1.773531,0.479438
Point03,0,4.15169,0.363624
Point04,0,4.052927,0.342708
Point05,0,3.954841,0.320396
Point06,0,3.855789,0.310756
Point07,0,3.760025,0.280866
Point08,0,3.662012,0.258524
Point09,0,3.561334,0.24726
Point10,0,3.46083,0.235163
Point11,0,3.372406,0.189272
Point12,0,3.293263,0.126775
Point13,0,3.193623,0.120965
Point14,0,3.094622,0.117531
Point15,0,2.996351,0.096808
Point16,0,2.897352,0.075147
Point17,0,2.796174,0.069951
Point18,0,2.695592,0.082216
Point19,0,2.60753,0.129383
Point20,0,2.51589,0.172908
Point21,0,2.428359,0.221795
Point22,0,2.336566,0.264958
Point23,0,2.244169,0.303276
Point24,0,2.148734,0.335942
Point25,0,2.058058,0.3812
Point26,0,1.959066,0.402106
Point27,0,1.868964,0.447858
