Name,Position X,Position Y,Position Z
Point01,0,1.638684,2.012773
Point02,0,3.928754,1.924818
Point03,0,1.83512,1.9833
Point04,0,2.024966,1.930967
Point05,0,2.19055,1.822272
Point06,0,2.246348,1.632103
Point07,0,2.290968,1.437028
Point08,0,2.391412,1.27102
Point09,0,2.474417,1.092231
Point10,0,2.529061,0.900429
Point11,0,2.548497,0.701472
Point12,0,2.55817,0.501568
Point13,0,2.594504,0.308576
Point14,0,2.675504,0.126563
Point15,0,2.820852,0.002767
Point16,0,3.000853,0.079788
Point17,0,3.153079,0.206453
Point18,0,3.182567,0.399872
Point19,0,3.193438,0.599705
Point20,0,3.200413,0.799712
Point21,0,3.207336,0.999746
Point22,0,3.213524,1.199797
Point23,0,3.222923,1.399701
Point24,0,3.263084,1.595103
Point25,0,3.366131,1.756759
Point26,0,3.539214,1.8569
Point27,0,3.729495,1.90798
