Name,Position X,Position Y,Position Z
Point01,0,2.265995,0.436472
Point02,0,3.628325,0.554703
Point03,0,2.322306,0.42898
Point04,0,2.377119,0.41277
Point05,0,2.429037,0.388768
Point06,0,2.479718,0.362214
Point07,0,2.532087,0.339177
Point08,0,2.587072,0.323992
Point09,0,2.643371,0.313951
Point10,0,2.697892,0.296642
Point11,0,2.75361,0.283685
Point12,0,2.810655,0.282607
Point13,0,2.8669,0.276182
Point14,0,2.922182,0.261501
Point15,0,2.979234,0.257291
Point16,0,3.036264,0.254168
Point17,0,3.093295,0.2564
Point18,0,3.147035,0.27593
Point19,0,3.201663,0.292778
Point20,0,3.255605,0.311914
Point21,0,3.308496,0.333508
Point22,0,3.353096,0.368989
Point23,0,3.393075,0.409911
Point24,0,3.436211,0.447445
Point25,0,3.477242,0.487101
Point26,0,3.519901,0.524923
Point27,0,3.572893,0.546147
