Name,Position X,Position Y,Position Z
Point01,0,2.103826,1.368577
Point02,0,3.435936,1.362639
Point03,0,2.18433,1.369743
Point04,0,2.264461,1.362877
Point05,0,2.338165,1.331725
Point06,0,2.40486,1.28729
Point07,0,2.461556,1.232224
Point08,0,2.501829,1.162758
Point09,0,2.538814,1.091218
Point10,0,2.574679,1.019045
Point11,0,2.616137,0.950023
Point12,0,2.665464,0.88674
Point13,0,2.72544,0.832955
Point14,0,2.775371,0.770074
Point15,0,2.833091,0.713937
Point16,0,2.904698,0.679214
Point17,0,2.985104,0.674812
Point18,0,3.062074,0.692353
Point19,0,3.123592,0.744219
Point20,0,3.175672,0.805518
Point21,0,3.199963,0.881561
Point22,0,3.221978,0.958833
Point23,0,3.248615,1.034862
Point24,0,3.275409,1.110883
Point25,0,3.301878,1.186972
Point26,0,3.32097,1.265227
Point27,0,3.364422,1.331814
