Name,Position X,Position Y,Position Z
Point01,0,1.729512,1.334124
Point02,0,3.542337,1.081054
Point03,0,1.797776,1.296588
Point04,0,1.871228,1.264134
Point05,0,1.944064,1.228069
Point06,0,2.008107,1.177041
Point07,0,2.06735,1.120439
Point08,0,2.134149,1.07312
Point09,0,2.206559,1.034732
Point10,0,2.278032,0.995129
Point11,0,2.349321,0.954847
Point12,0,2.418315,0.910616
Point13,0,2.475337,0.852143
Point14,0,2.542545,0.807084
Point15,0,2.622109,0.788397
Point16,0,2.703066,0.776484
Point17,0,2.783705,0.780784
Point18,0,2.859688,0.758153
Point19,0,2.936173,0.729296
Point20,0,3.016859,0.719497
Point21,0,3.090523,0.753157
Point22,0,3.150128,0.809399
Point23,0,3.213467,0.860733
Point24,0,3.279994,0.908476
Point25,0,3.349698,0.951215
Point26,0,3.411442,1.003771
Point27,0,3.462823,1.066842
