Name,Position X,Position Y,Position Z
Point01,0,2.386429,0.842991
Point02,0,3.698826,0.825091
Point03,0,2.442344,0.812546
Point04,0,2.486329,0.767157
Point05,0,2.516575,0.711235
Point06,0,2.534495,0.650145
Point07,0,2.56184,0.593805
Point08,0,2.613785,0.557264
Point09,0,2.665813,0.521006
Point10,0,2.723227,0.494508
Point11,0,2.785704,0.485702
Point12,0,2.848291,0.490588
Point13,0,2.910501,0.485313
Point14,0,2.97057,0.465033
Point15,0,3.034139,0.466939
Point16,0,3.097791,0.467306
Point17,0,3.160506,0.45994
Point18,0,3.223806,0.466963
Point19,0,3.286637,0.477257
Point20,0,3.34563,0.500468
Point21,0,3.406527,0.518958
Point22,0,3.460166,0.553003
Point23,0,3.495046,0.604459
Point24,0,3.51431,0.665166
Point25,0,3.550772,0.716583
Point26,0,3.587402,0.768395
Point27,0,3.637939,0.806858
