Name,Position X,Position Y,Position Z
Point01,0,2.089162,0.511497
Point02,0,3.295746,0.692755
Point03,0,2.157883,0.5096
Point04,0,2.22572,0.496834
Point05,0,2.29471,0.492211
Point06,0,2.363811,0.490618
Point07,0,2.432114,0.48251
Point08,0,2.497691,0.461114
Point09,0,2.561971,0.436301
Point10,0,2.629174,0.421594
Point11,0,2.686562,0.383046
Point12,0,2.746834,0.349934
Point13,0,2.802757,0.309929
Point14,0,2.847951,0.257774
Point15,0,2.903872,0.217182
Point16,0,2.956263,0.172146
Point17,0,3.01532,0.136292
Point18,0,3.081147,0.116741
Point19,0,3.136755,0.143808
Point20,0,3.147306,0.212071
Point21,0,3.151046,0.281148
Point22,0,3.154928,0.350254
Point23,0,3.158733,0.41933
Point24,0,3.162746,0.488385
Point25,0,3.166332,0.557467
Point26,0,3.179719,0.62481
Point27,0,3.233701,0.666832
