Name,Position X,Position Y,Position Z
Point01,0,2.44138,0.920948
Point02,0,3.375542,0.943935
Point03,0,2.50507,0.893075
Point04,0,2.561672,0.851958
Point05,0,2.600532,0.798571
Point06,0,2.611746,0.729442
Point07,0,2.628197,0.661606
Point08,0,2.678163,0.613181
Point09,0,2.711592,0.552524
Point10,0,2.732986,0.485858
Point11,0,2.769243,0.42644
Point12,0,2.801568,0.364596
Point13,0,2.836387,0.303953
Point14,0,2.886283,0.258339
Point15,0,2.954147,0.244785
Point16,0,3.022683,0.254703
Point17,0,3.056406,0.315241
Point18,0,3.087696,0.377647
Point19,0,3.102882,0.44601
Point20,0,3.130102,0.509213
Point21,0,3.139778,0.57804
Point22,0,3.145195,0.647887
Point23,0,3.150809,0.717709
Point24,0,3.157011,0.787413
Point25,0,3.191945,0.844167
Point26,0,3.248457,0.885148
Point27,0,3.3126,0.913285
