Name,Position X,Position Y,Position Z
Point01,0,2.267465,0.439645
Point02,0,3.524693,0.581162
Point03,0,2.322166,0.439544
Point04,0,2.375385,0.428809
Point05,0,2.428113,0.414034
Point06,0,2.478794,0.394319
Point07,0,2.520602,0.359639
Point08,0,2.572204,0.341527
Point09,0,2.618379,0.31209
Point10,0,2.667198,0.287415
Point11,0,2.719138,0.269987
Point12,0,2.77279,0.259462
Point13,0,2.825907,0.246474
Point14,0,2.878472,0.231079
Point15,0,2.932765,0.228344
Point16,0,2.986338,0.239599
Point17,0,3.039363,0.252707
Point18,0,3.091549,0.2693
Point19,0,3.143524,0.286488
Point20,0,3.191413,0.312978
Point21,0,3.228419,0.353007
Point22,0,3.263914,0.394704
Point23,0,3.299095,0.436692
Point24,0,3.33725,0.475936
Point25,0,3.377807,0.512612
Point26,0,3.424553,0.541146
Point27,0,3.471607,0.568993
