Name,Position X,Position Y,Position Z
Point01,0,2.445976,0.263661
Point02,0,3.563944,0.215027
Point03,0,2.489687,0.257154
Point04,0,2.53346,0.250426
Point05,0,2.577066,0.242726
Point06,0,2.619452,0.229956
Point07,0,2.66152,0.216118
Point08,0,2.699799,0.193942
Point09,0,2.7423,0.181736
Point10,0,2.785082,0.17059
Point11,0,2.827301,0.157348
Point12,0,2.871496,0.155558
Point13,0,2.915771,0.154203
Point14,0,2.95959,0.147826
Point15,0,3.003751,0.145921
Point16,0,3.047977,0.143585
Point17,0,3.092262,0.143072
Point18,0,3.136514,0.142429
Point19,0,3.179288,0.1313
Point20,0,3.223386,0.130989
Point21,0,3.267333,0.135355
Point22,0,3.310189,0.143107
Point23,0,3.350449,0.1612
Point24,0,3.394021,0.168978
Point25,0,3.436385,0.181685
Point26,0,3.479435,0.191682
Point27,0,3.520179,0.208908
