Name,Position X,Position Y,Position Z
Point01,0,3.830847,0.437468
Point02,0,2.084675,0.349408
Point03,0,3.765247,0.414262
Point04,0,3.701273,0.38749
Point05,0,3.637828,0.357766
Point06,0,3.573601,0.330625
Point07,0,3.50394,0.321182
Point08,0,3.43358,0.324616
Point09,0,3.363289,0.320157
Point10,0,3.294637,0.304986
Point11,0,3.232367,0.272139
Point12,0,3.166412,0.249341
Point13,0,3.097592,0.234481
Point14,0,3.02982,0.215206
Point15,0,2.965885,0.185747
Point16,0,2.898554,0.167067
Point17,0,2.829182,0.176693
Point18,0,2.759992,0.176337
Point19,0,2.690084,0.180283
Point20,0,2.622477,0.199951
Point21,0,2.557714,0.227475
Point22,0,2.490429,0.248313
Point23,0,2.426093,0.277005
Point24,0,2.36081,0.303424
Point25,0,2.292569,0.3185
Point26,0,2.222353,0.321972
Point27,0,2.153417,0.33636
