Name,Position X,Position Y,Position Z
Point01,0,3.341924,1.008261
Point02,0,2.494114,0.942954
Point03,0,3.263316,0.983341
Point04,0,3.1963,0.935733
Point05,0,3.137505,0.878093
Point06,0,3.121806,0.797068
Point07,0,3.113597,0.714564
Point08,0,3.103984,0.632228
Point09,0,3.084894,0.551794
Point10,0,3.073205,0.469727
Point11,0,3.062793,0.387484
Point12,0,3.050714,0.305446
Point13,0,3.021361,0.228892
Point14,0,2.966699,0.167588
Point15,0,2.910577,0.10738
Point16,0,2.831021,0.094193
Point17,0,2.769912,0.141064
Point18,0,2.757434,0.223008
Point19,0,2.743698,0.304713
Point20,0,2.724359,0.385344
Point21,0,2.712081,0.467315
Point22,0,2.701368,0.549518
Point23,0,2.689875,0.631627
Point24,0,2.675174,0.713188
Point25,0,2.654928,0.793558
Point26,0,2.633599,0.873576
Point27,0,2.574807,0.92856
