Name,Position X,Position Y,Position Z
Point01,0,0.451809,0.232749
Point02,0,1.961836,0.204093
Point03,0,0.514162,0.219351
Point04,0,0.568532,0.18518
Point05,0,0.614929,0.14084
Point06,0,0.668053,0.105182
Point07,0,0.72486,0.075301
Point08,0,0.782533,0.047047
Point09,0,0.840584,0.019614
Point10,0,0.898966,-0.006776
Point11,0,0.960114,-0.023573
Point12,0,1.02085,-0.042754
Point13,0,1.083115,-0.057929
Point14,0,1.146771,-0.066579
Point15,0,1.209889,-0.078097
Point16,0,1.273981,-0.074435
Point17,0,1.337722,-0.067575
Point18,0,1.401421,-0.076007
Point19,0,1.46514,-0.071294
Point20,0,1.527588,-0.056295
Point21,0,1.587604,-0.033537
Point22,0,1.646333,-0.007619
Point23,0,1.70142,0.025194
Point24,0,1.753804,0.061742
Point25,0,1.800766,0.105552
Point26,0,1.857046,0.136192
Point27,0,1.911269,0.170068
