Name,Position X,Position Y,Position Z
Point01,0,3.537023,0.46696
Point02,0,2.657241,0.457666
Point03,0,3.492729,0.465734
Point04,0,3.450189,0.453922
Point05,0,3.413828,0.428728
Point06,0,3.377468,0.403317
Point07,0,3.342997,0.375472
Point08,0,3.308566,0.347586
Point09,0,3.273598,0.320425
Point10,0,3.233117,0.302492
Point11,0,3.190441,0.291114
Point12,0,3.146288,0.287552
Point13,0,3.102966,0.278463
Point14,0,3.064288,0.256902
Point15,0,3.021929,0.244364
Point16,0,2.978487,0.235774
Point17,0,2.936969,0.221606
Point18,0,2.899543,0.197893
Point19,0,2.856732,0.187256
Point20,0,2.812553,0.184409
Point21,0,2.771872,0.200833
Point22,0,2.761168,0.243564
Point23,0,2.75447,0.287362
Point24,0,2.749055,0.331368
Point25,0,2.741361,0.375053
Point26,0,2.72938,0.417636
Point27,0,2.700438,0.450059
