Name,Position X,Position Y,Position Z
Point01,0,2.243609,2.459007
Point02,0,5.928342,1.918274
Point03,0,2.478277,2.388847
Point04,0,2.577339,2.168655
Point05,0,2.656539,1.931586
Point06,0,2.689049,1.684631
Point07,0,2.697346,1.434713
Point08,0,2.706829,1.184839
Point09,0,2.744436,0.942563
Point10,0,2.922349,0.816914
Point11,0,3.092277,0.651972
Point12,0,3.318045,0.545184
Point13,0,3.555235,0.467822
Point14,0,3.794417,0.396158
Point15,0,4.034942,0.329407
Point16,0,4.274052,0.257701
Point17,0,4.513905,0.187168
Point18,0,4.755392,0.12437
Point19,0,4.984837,0.14517
Point20,0,5.187821,0.102945
Point21,0,5.260088,0.342108
Point22,0,5.327853,0.582753
Point23,0,5.408617,0.819329
Point24,0,5.483235,1.057996
Point25,0,5.559012,1.296079
Point26,0,5.64638,1.529194
Point27,0,5.750812,1.756327
