Name,Position X,Position Y,Position Z
Point01,0,6.480703,2.220206
Point02,0,9.729996,1.974542
Point03,0,6.586446,2.049765
Point04,0,6.626655,1.837557
Point05,0,6.681695,1.628889
Point06,0,6.749535,1.423832
Point07,0,6.813838,1.217638
Point08,0,6.886242,1.014142
Point09,0,7.010244,0.853944
Point10,0,7.174796,0.728699
Point11,0,7.379329,0.662187
Point12,0,7.590276,0.616405
Point13,0,7.802257,0.575063
Point14,0,8.014124,0.533132
Point15,0,8.227739,0.501853
Point16,0,8.44051,0.465241
Point17,0,8.654076,0.43322
Point18,0,8.867867,0.402701
Point19,0,9.081705,0.372306
Point20,0,9.293991,0.397062
Point21,0,9.387452,0.571066
Point22,0,9.413112,0.785518
Point23,0,9.433019,1.000567
Point24,0,9.451936,1.215733
Point25,0,9.477577,1.430183
Point26,0,9.496012,1.64537
Point27,0,9.561674,1.841812
