Name,Position X,Position Y,Position Z
Point01,0,9.965321,2.054874
Point02,0,7.677394,2.219415
Point03,0,9.796097,2.022222
Point04,0,9.64558,1.93608
Point05,0,9.536309,1.804938
Point06,0,9.459344,1.649351
Point07,0,9.395262,1.48815
Point08,0,9.331418,1.326744
Point09,0,9.252462,1.172315
Point10,0,9.146741,1.034955
Point11,0,9.014139,0.923199
Point12,0,8.875261,0.818978
Point13,0,8.730978,0.72257
Point14,0,8.583159,0.631525
Point15,0,8.43508,0.540902
Point16,0,8.281955,0.459186
Point17,0,8.115326,0.456027
Point18,0,8.093986,0.624459
Point19,0,8.074415,0.796897
Point20,0,8.061534,0.970036
Point21,0,8.049855,1.143276
Point22,0,8.033586,1.316074
Point23,0,8.008175,1.487839
Point24,0,7.989603,1.660377
Point25,0,7.955818,1.830337
Point26,0,7.89641,1.99341
Point27,0,7.825492,2.15152
